DatasetName,FieldName,Term,Definition
DescriptionOfMapUnits,GeoMaterialConfidence,Certain,"Identity of a feature can be determined using relevant observations and scientific judgment; therefore, one can be reasonably confident in the credibility of this interpretation."
DescriptionOfMapUnits,GeoMaterialConfidence,Questionable,"Identity of a feature cannot be determined using relevant observations and scientific judgment; therefore, one cannot be reasonably confident in the credibility of this interpretation. For example, IdentityConfidence = questionable is appropriate when a geologist reasons “I can see some kind of planar feature that separates map units in this outcrop, but I cannot be certain if it is a contact or a fault.”"
DescriptionOfMapUnits,ParagraphStyle,Heading,"Used to organize and identify groups of units. Beneath each heading, each map unit is described in order of increasing age; thus, the upper member of a formation would be described before its middle or lower members."
DescriptionOfMapUnits,ParagraphStyle,Standard,A map unit within the Description of Map Units.
DescriptionOfMapUnits,GeoMaterialConfidence,High ,"High confidence means that this determination or geologic interpretation is supported by multiple data points, is axiomatic in nature, is the best of all available choices, or is otherwise believed to be true by the authors."
DescriptionOfMapUnits,GeoMaterialConfidence,Medium,"Medium confidence means that this determination or geologic interpreation is supported by one or more data points, but there may also be data supporting one or more alternative hypotheses."
DescriptionOfMapUnits,GeoMaterialConfidence,Low,Low confidence means that there is too little information availble to assess the accuracy of this geologic interpretation.
ContactsAndFaults,Type,bedding,"Layering produced by stratification; the accumulation of sediment into layers, known as strata, whose characteristics are defined principally by variations in the strength and sediment-carrying (bed load) capacity of the depositing medium."
ContactsAndFaults,Type,"contact, depositional",A sedimentary rock or lava flow was deposited under an older rock.
ContactsAndFaults,Type,dike,A sheet-like body of intrusive igneous rock that cuts across bedding or foliation (if present) in host rock. Dike is also a kind of degenerate volume geologic surface.
ContactsAndFaults,Type,apparent dip,The plunge  of the line created by the intersection of the measured planar feature with a hypothetical vertical plane conicdent with and parallel to the symbol's arrow on the map.
ContactsAndFaults,Type,earth surface description boundary trace,Genetic boundary trace represents the outcrop of the surface separating two mapped bodies of rock that was formed during the genesis of at least one of the geologic units. Identity of a genetic boundary trace is defined by the two geologic units that are separated. A genetic boundary trace is the 2-D map manifestation of a geologic surface.
ContactsAndFaults,Type,"bedding, contorted or variable","Layering produced by stratification; the accumulation of sediment into layers, known as strata that are strongly undulatory."
ContactsAndFaults,Type,"cleavage, parallel to bedding",Composite fabric in which a cleavage is developed parallel to bedding.
ContactsAndFaults,Type,"contact, intrusive",Contact between a host rock body and a magmatic intrusion.
ContactsAndFaults,Type,"contact, intrusive, timing unknown",Contact at which an igneous rock has intruded an older rock body; timing relationship across the contact not specified.
ContactsAndFaults,Type,"contact, depostional, unspecified conformity",Contact at which a sedimentary or volcanic rock has been deposited on another rock body.
ContactsAndFaults,Type,"dike, felsic",Dike in which the intrusive rock body has a felsic composition.
ContactsAndFaults,Type,"lineation, directed stretching",Stretching  lineation for which the sense of shear relative to a containing foliation is known.
ContactsAndFaults,Type,"fault, detachment","A style of low-angle, high extension normal faulting."
ContactsAndFaults,Type,"cleavage, axial plane",A type of foliation where rock splits parallel to the cleavage surfaces.
ContactsAndFaults,Type,"fault, high angle","High-angle fault for which hanging wall rocks are at a lower elevation than corresponding footwall rocks. Use when separation is indicated by markers of a nature that do not indicate lateral separation, e.g. a gently "
ContactsAndFaults,Type,"contact, gradational",A gradual or continuous lithologic change from one geologic map unit to another.
ContactsAndFaults,Type,fault contact,Line depicting the trace of a mapped fault.
ContactsAndFaults,Type,fault,A discrete surface tectonic structure across which bodies of rock have been displaced relative to each other.
ContactsAndFaults,Type,"cleavage, slaty",Schistosity in which the individual grains defining the fabric are too small to be seen by the unaided eye. Continuous planar foliation defined by aligned fine to very-fine grained phyllosilicate mineral grains.
ContactsAndFaults,Type,"bedding, inclined",Layering produced by stratification that is not parallel to the Earth's surface.
ContactsAndFaults,Type,compound tectonic foliation,"Foliation defined by parting surfaces (cleavage domains) that  have no apparent thickness, are spaced between 5 cm and 25 cm, and do not crenulate an older foliation. Fabric intermediate between typical cleavage and joints. Parting surfaces are regularly spaced, and penetrative on a 1 to 10 m scale. 5 cm upper limit on spacing of cleavage."
ContactsAndFaults,Type,close joints,"Foliation defined by parting surfaces (cleavage domains) that  have no apparent thickness, are spaced between 5 cm and 25 cm, and do not crenulate an older foliation. Fabric intermediate between typical cleavage and joints. Parting surfaces are regularly spaced, and penetrative on a 1 to 10 m scale. 5 cm upper limit on spacing of cleavage."
ContactsAndFaults,Type,"cleavage, crenulation",Cleavage that is overprinted on an older foliation that is folded to some degree in association with development of the  younger cleavage.
ContactsAndFaults,Type,CW asymmetric fold,Asymmetric fold for which the axial surface makes an acute dihedral angle measured counter clockwise from the imaginary surface that contains the inflection points for the folded surfaces or lines.
ContactsAndFaults,Type,CCW asymmetric fold,"Asymmetric fold for which the axial surface makes an acute dihedral angle measured clockwise from the imaginary surface that contains the inflection points for the folded surfaces or lines, when viewed in a profile normal to the hinge line of the fold."
ContactsAndFaults,Type,"foliation, flow","Foliation interpreted to be due to flow in a body of magma or lava. Includes flow banding in lava, and foliation defined by aligned crystals in a phaneritic igneous rock."
ContactsAndFaults,Type,fold hinge,Linear structure defined by the locus of maximum curvature of a folded surface.
ContactsAndFaults,Type,"foliation, primary igneous","Penetrative planar fabric interpreted to be the product of igneous processes, formed in the rock while melt was still present."
ContactsAndFaults,Type,"foliation, protomylonitic, weak","Protomylonite foliation defined by shape of deformed, originally equant grains, in which aspect ratio of deformed grains is generally less than 3 to 1 (longest to shortest axis). Incipient mylonitic foliation, in which the planar aspect of the foliation i"
ContactsAndFaults,Type,"lineation, tectonic","Fabric defined by aligned elongate (prolate) fabric elements for which the alignment is due to tectonic processes (i.e. post depositional for sedimentary rocks, post crystallization for igneous rocks, or any lineation related to metamorphism)."
ContactsAndFaults,Type,groove or striae in surface,"Lineation in which fabric elements are grooves or striations in a surface. Fabric elements may be locally penetrative within the surface, but absent in adjacent rock body."
ContactsAndFaults,Type,joint,"Parting surfaces in rock that occur in crudely parallel orientation, spaced greater than5 cm on average if in a very regular joint set. Spacing is more variable and alignment of surfaces is cruder that cleavage."
ContactsAndFaults,Type,lithogenetic boundary,A non-faulted contact separating bodies of material in the earth that have different lithologic character or geologic history.
